[ 2026-03-26 10:58:49,153 ] 162 numexpr.utils - INFO - NumExpr defaulting to 16 threads.
[ 2026-03-26 10:58:50,599 ] 18 root - INFO - Initiate the data ingestion
[ 2026-03-26 10:58:52,196 ] 66 root - INFO - Performed train test split on the dataframe
[ 2026-03-26 10:58:52,196 ] 68 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-26 10:58:52,196 ] 76 root - INFO - Exporting train and test file path.
[ 2026-03-26 10:58:52,239 ] 85 root - INFO - Exported train and test file path.
[ 2026-03-26 10:58:52,239 ] 20 root - INFO - Data ingestion completed
[ 2026-03-26 10:58:52,243 ] 27 root - INFO - Initiate the data Validation
[ 2026-03-26 10:58:52,349 ] 31 root - INFO - Required number of columns:2
[ 2026-03-26 10:58:52,349 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-26 10:58:52,349 ] 31 root - INFO - Required number of columns:2
[ 2026-03-26 10:58:52,349 ] 32 root - INFO - Data frame has columns:31
[ 2026-03-26 10:58:52,498 ] 30 root - INFO - Data validation completed
[ 2026-03-26 10:58:52,498 ] 35 root - INFO - Data transfromation started
[ 2026-03-26 10:58:52,498 ] 64 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-03-26 10:58:52,498 ] 66 root - INFO - Starting data transformation
[ 2026-03-26 10:58:52,521 ] 49 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2026-03-26 10:58:52,522 ] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-03-26 10:58:52,537 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-26 10:58:52,542 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-26 10:58:52,542 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-03-26 10:58:52,545 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-03-26 10:58:52,546 ] 39 root - INFO - Data transfromation completed
